*** SIMULATION LOOP NO. 1 (starting at time 0.000) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     2 |      0 |  1.800261e-14 |  1.123186e-08 |  1.123188e-08 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 39 (starting at time 1.900) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  7.439351e-15 |  8.881163e-09 |  8.881172e-09 |  1.000000e+00 | 
     2 |      0 |  1.327747e-14 |  8.737540e-09 |  8.737556e-09 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 40 (starting at time 1.950) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  7.348946e-15 |  6.909351e-09 |  6.909359e-09 |  1.000000e+00 | 
     2 |      0 |  1.212488e-14 |  6.797572e-09 |  6.797586e-09 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 41 (starting at time 2.000) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  3.919378e-15 |  5.375561e-09 |  5.375566e-09 |  1.000000e+00 | 
     2 |      0 |  7.995729e-15 |  5.288550e-09 |  5.288559e-09 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 42 (starting at time 2.050) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  4.451024e-15 |  4.182379e-09 |  4.182385e-09 |  1.000000e+00 | 
     2 |      0 |  1.021117e-14 |  4.114641e-09 |  4.114654e-09 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 43 (starting at time 2.100) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  5.174979e-15 |  3.254106e-09 |  3.254112e-09 |  1.000000e+00 | 
     2 |      0 |  7.337299e-15 |  3.201362e-09 |  3.201371e-09 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 44 (starting at time 2.150) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  3.597566e-15 |  2.531886e-09 |  2.531890e-09 |  1.000000e+00 | 
     2 |      0 |  6.069870e-15 |  2.490822e-09 |  2.490829e-09 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 45 (starting at time 2.200) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  3.412733e-15 |  1.969992e-09 |  1.969996e-09 |  1.000000e+00 | 
     2 |      0 |  5.561123e-15 |  1.938019e-09 |  1.938025e-09 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 46 (starting at time 2.250) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  2.019818e-15 |  1.532830e-09 |  1.532832e-09 |  1.000000e+00 | 
     2 |      0 |  4.396773e-15 |  1.507930e-09 |  1.507935e-09 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 47 (starting at time 2.300) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  2.187982e-15 |  1.192703e-09 |  1.192706e-09 |  1.000000e+00 | 
     2 |      0 |  4.064322e-15 |  1.173314e-09 |  1.173318e-09 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 48 (starting at time 2.350) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  1.966453e-15 |  9.280726e-10 |  9.280749e-10 |  1.000000e+00 | 
     2 |      0 |  3.111562e-15 |  9.129728e-10 |  9.129765e-10 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 49 (starting at time 2.400) ***
